	4585
INFORMS	1
INFRINGEMENT	1
INGENIOUS	2
INGENUITY	2
INGRATITUDE	1
INHABITANTS	3
INHERIT	1
INHERITED	1
INHERITING	2
INHUMANITY	1
INIQUITOUS	1
INJUNCTION	1
INJUNCTIONS	1
INJURE	2
INJURED	4
INJURIES	1
INJURING	1
INJURIOUS	2
INJURY	1
INJUSTICE	4
INMATE	1
INMATES	1
INN	7
INNOCENT	2
INNOCENTLY	1
INNS	1
INOFFENSIVE	1
INQUIRE	3
INQUIRED	1
INQUIRIES	6
INQUIRY	3
INSENSIBILITY	5
INSENSIBLE	4
INSIGNIFICANCE	3
INSIGNIFICANT	1
INSINCERE	2
INSINUATING	1
INSIPID	1
INSIPIDITY	1
INSIST	8
INSISTED	1
INSISTS	1
INSOLENCE	1
INSOLENT	5
INSPECTION	2
INSPIRE	1
INSPIRED	2
INSPIRES	1
INSPIRING	1
INSTABILITY	1
INSTANCE	7
INSTANCES	4
INSTANT	6
INSTANTANEOUS	1
INSTANTLY	31
INSTEAD	21
INSTINCTIVELY	2
INSTITUTED	1
INSTRUCT	1
INSTRUCTED	1
INSTRUCTING	1
INSTRUCTION	2
INSTRUCTIONS	3
INSTRUMENT	11
INSUFFERABLE	1
INSUFFERABLY	1
INSUFFICIENT	10
INSULTED	1
INSULTING	1
INSUPPORTABLE	3
INTEGRITY	3
INTELLECTUAL	2
INTELLIGENCE	19
INTELLIGENT	4
INTELLIGIBLE	4
INTEND	3
INTENDED	21
INTENDING	7
INTENTION	16
INTENTIONALLY	2
INTENTIONS	4
INTENTLY	2
INTERCOURSE	6
INTEREST	26
INTERESTED	8
INTERESTING	14
INTERFERE	1
INTERFERENCE	13
INTERFERING	1
INTERMARRIAGE	1
INTERMEDIATE	1
INTERMISSION	3
INTERNAL	1
INTERNATIONAL	1
INTERNET	2
INTERPOSE	1
INTERPRETATION	1
INTERPRETED	1
INTERRUPT	5
INTERRUPTED	9
INTERRUPTING	2
INTERRUPTION	10
INTERRUPTIONS	1
INTERVAL	4
INTERVALS	3
INTERVENE	1
INTERVIEW	3
INTIMACY	10
INTIMATE	13
INTIMATELY	2
INTIMATES	1
INTIMATION	1
INTIMIDATE	1
INTIMIDATED	1
INTO	143
INTOLERABLE	3
INTREAT	3
INTREATIES	1
INTREATY	5
INTREPIDITY	1
INTRICATE	2
INTRIGUES	1
INTRODUCE	11
INTRODUCED	9
INTRODUCING	4
INTRODUCTION	11
INTRUDE	2
INTRUDER	1
INTRUDING	2
INTRUSION	3
INURED	1
INVALID	1
INVALIDITY	1
INVALUABLE	3
INVARIABLE	1
INVARIABLY	2
INVECTIVES	1
INVENT	1
INVENTED	1
INVENTING	1
INVENTION	1
INVESTIGATIONS	1
INVITATION	34
INVITATIONS	1
INVITE	6
INVITED	11
INVITING	3
INVOLUNTARILY	2
INVOLUNTARY	1
INVOLVE	2
INVOLVED	3
INVOLVES	1
INVOLVING	2
IRISH	1
IRKSOME	2
IRREGULARITY	1
IRRELIGIOUS	1
IRREMEDIABLE	1
IRREPROACHABLE	1
IRRETRIEVABLE	1
IRREVOCABLY	1
IRRITABLE	2
IRRITATED	1
IRRITATION	3
IRS	1
IS	884
IT	1549
ITALIAN	1
ITALICS	2
ITS	109
ITSELF	9
IV	3
IX	3
JAMES	6
JANE	294
JANUARY	2
JEALOUS	3
JEALOUSY	4
JENKINSON	9
JESTINGLY	1
JEWEL	1
JEWELS	1
JILT	1
JOHN	2
JOIN	19
JOINED	28
JOINING	5
JOINTS	1
JOKE	3
JOKES	1
JOKING	1
JON	1
JONES	5
JOT	1
JOURNEY	21
JOURNEYS	1
JOY	12
JOYFUL	2
JOYFULLY	1
JUDGE	12
JUDGED	7
JUDGING	3
JUDGMENT	14
JULY	2
JUMBLED	1
JUMPED	1
JUMPING	1
JUMPS	1
JUNE	3
JUNIOR	1
JUST	72
JUSTICE	15
JUSTIFICATION	1
JUSTIFIED	5
JUSTIFY	6
JUSTIFYING	1
JUSTLY	3
KEENER	1
KEENEST	3
KEEP	28
KEEPING	6
KEEPS	3
KENELWORTH	1
KENT	14
KEPT	17
KILL	1
KILLED	4
KIND	64
KINDER	2
KINDEST	1
KINDLED	1
KINDLY	7
KINDNESS	29
KINDRED	1
KING	8
KINGDOM	4
KISS	1
KISSED	2
KITCHEN	1
KITTY	71
KNEES	1
KNEW	59
KNIGHTHOOD	2
KNOW	238
KNOWING	27
KNOWLEDGE	20
KNOWN	57
KNOWS	9
KYMPTON	1
LA	4
LABOUR	1
LACE	1
LACONIC	1
LAD	1
LADIES	74
LADY	190
LADYSHIP	42
LAGGED	2
LAID	8
LAITY	1
LAKE	1
LAKES	6
LAMBTON	10
LAMENT	3
LAMENTATIONS	3
LAMENTED	1
LAMENTING	1
LAND	1
LANDING	1
LANDLORD	2
LANE	10
LANES	1
LANGUAGE	6
LANGUAGES	1
LANGUOR	1
LARDER	1
LARGE	23
LARGER	6
LARGEST	1
LASHES	1
LAST	119
LASTED	3
LASTING	2
LASTLY	1
LATE	19
LATELY	12
LATER	3
LATEST	1
LATTER	22
LATTERLY	1
LAUDABLE	1
LAUGH	18
LAUGHED	10
LAUGHING	11
LAUGHINGLY	2
LAUGHT	1
LAUGHTER	2
LAUREL	1
LAW	19
LAWFULLY	1
LAWN	6
LAWS	8
LAY	6
LAYING	2
LEAD	6
LEADING	5
LEADS	3
LEANING	1
LEARN	11
LEARNED	3
LEARNING	1
LEARNT	14
LEASE	1
LEAST	64
LEAVE	62
LEAVES	2
LEAVING	18
LED	18
LEFT	66
LEGACY	1
LEGAL	3
LEGALLY	2
LEISURE	13
LEISURELY	1
LEND	1
LENGTH	32
LESS	78
LESSEN	4
LESSENED	1
LESSENING	1
LESSON	2
LEST	8
LET	75
LETTER	116
LETTERS	16
LETTING	5
LEVELLED	1
LEWIS	3
LIABILITY	3
LIABLE	3
LIBERAL	5
LIBERALITY	2
LIBERALLY	2
LIBERTIES	1
LIBERTY	7
LIBRARY	27
LICENCE	2
LICENSE	16
LICENSED	1
LICENTIOUSNESS	1
LIE	1
LIES	1
LIEU	4
LIEUTENANT	1
LIFE	58
LIFT	4
LIFTED	2
LIGHT	17
LIGHTED	1
LIGHTNESS	1
LIKE	85
LIKED	27
LIKELIHOOD	5
LIKELY	39
LIKENESS	3
LIKES	9
LIKEWISE	17
LIKING	2
LIMITATION	3
LIMITED	5
LIMITS	1
LINE	8
LINES	9
LINGERING	1
LINKED	1
LINKS	3
LIPS	9
LIST	3
LISTEN	12
LISTENED	21
LISTENER	3
LISTENING	10
LITERARY	13
LITTLE	189
LIVE	21
LIVED	14
LIVELIEST	3
LIVELINESS	4
LIVELY	15
LIVERPOOL	1
LIVERY	2
LIVES	4
LIVING	24
LIVINGS	1
LIZZY	97
LL	1
LOBBY	1
LOCAL	1
LOCATED	4
LOCATIONS	2
LOCK	1
LODGE	8
LODGES	2
LODGINGS	5
LOFTY	1
LONDON	58
LONG	117
LONGBOURN	88
LONGED	9
LONGER	44
LONGING	2
LOO	2
LOOK	56
LOOKED	74
LOOKING	33
LOOKS	14
LOOSE	2
LORD	12
LOSE	11
LOSER	1
LOSING	1
LOSS	17
LOSSES	1
LOST	29
LOT	3
LOTTERY	3
LOUD	2
LOUDER	1
LOUDLY	2
LOUISA	6
LOVE	92
LOVED	10
LOVELIEST	1
LOVELINESS	2
LOVELY	3
LOVER	5
LOVERS	4
LOVES	2
LOVING	2
LOW	8
LOWER	4
LOWEST	1
LOWNESS	1
LUCAS	71
LUCASES	13
LUCK	4
LUCKIEST	1
LUCKILY	4
LUCKLESS	1
LUCKY	6
LUNCHEON	1
LURKING	1
LUSTRE	1
LYDIA	171
LYING	1
M	4
MA	8
MACHINE	1
MADAM	20
MADE	129
MAGISTRATE	1
MAGNITUDE	1
MAID	3
MAIDEN	1
MAIL	1
MAIN	1
MAINTAIN	1
MAINTAINED	2
MAINTAINING	2
MAKE	170
MAKES	8
MAKING	36
MALE	1
MALICE	2
MALICIOUS	2
MAMA	4
MAMMA	7
MAN	150
MANAGE	3
MANAGED	1
MANAGEMENT	4
MANAGER	1
MANIFOLD	1
MANKIND	1
MANNER	97
MANNERS	45
MANOEUVRE	1
MANOR	2
MANSION	2
MANTLE	3
MANY	122
MARCH	2
MARIA	20
MARK	4
MARKED	16
MARKET	2
MARKS	2
MARRIAGE	66
MARRIED	60
MARRIES	1
MARRY	42
MARRYING	23
MARY	40
MASTER	28
MASTERLY	1
MASTERS	2
MATCH	24
MATERIAL	9
MATERIALLY	5
MATERNAL	2
MATLOCK	3
MATRIMONIAL	1
MATRIMONY	6
MATTER	29
MATTERS	8
MATURE	1
MAXIMUM	1
MAY	210
MAYORALTY	1
ME	450
MEADOWS	1
MEAN	36
MEANEST	1
MEANING	14
MEANLY	3
MEANNESS	1
MEANS	60
MEANT	28
MEANWHILE	4
MEASURE	5
MEASURES	3
MEAT	4
MECHANICALLY	1
MEDIOCRITY	1
MEDITATE	2
MEDITATED	2
MEDITATING	3
MEDITATION	1
MEDITATIONS	1
MEDIUM	5
MEEHAN	1
MEET	32
MEETING	22
MEETINGS	2
MEETS	2
MELAN	1
MELANCHOLY	5
MEMBER	1
MEMORIES	2
MEMORY	8
MEN	34
MEND	5
MENTION	30
MENTIONED	28
MENTIONING	7
MERCENARY	5
MERCHANTABILITY	1
MERE	5
MERELY	33
MERIT	7
MERITED	2
MERITS	1
MERRY	3
MERYTON	57
MESS	1
MESSAGE	3
MESSAGES	1
MET	40
METCALFE	1
METHOD	6
METHODS	1
MICHAEL	2
MICHAELMAS	2
MIDDLE	4
MIEN	1
MIGHT	200
MILD	1
MILDLY	1
MILDNESS	2
MILE	6
MILES	16
MILITARY	4
MILITIA	6
MILLAR	1
MILLINER	2
MINCE	1
MIND	57
MINDED	2
MINDFUL	1
MINDS	4
MINE	15
MINGLED	1
MINGLING	1
MINIATURES	3
MINUTE	9
MINUTELY	3
MINUTENESS	1
MINUTES	37
MINUTEST	1
MIRACULOUS	2
MIRTH	2
MISCHANCE	1
MISCHIEF	3
MISCHIEVOUSLY	1
MISCONDUCT	2
MISERABLE	6
MISERABLY	1
MISERIES	1
MISERLY	1
MISERY	15
MISFORTUNE	8
MISFORTUNES	5
MISLEAD	1
MISLEADING	1
MISLEADS	1
MISLED	1
MISMANAGEMENT	1
MISREPRESENTATION	1
MISREPRESENTED	2
MISS	283
MISSED	3
MISSENT	2
MISSING	1
MISSION	4
MISSISH	1
MISSISSIPPI	1
MISTAKE	8
MISTAKEN	22
MISTAKES	2
MISTOOK	1
MISTRESS	9
MISUNDERSTAND	3
MISUNDERSTOOD	3
MIX	1
MIXED	2
MIXING	1
MIXTURE	5
MODE	6
MODEL	2
MODERATE	2
MODERATION	2
MODERN	3
MODEST	2
MODESTY	6
MODIFICATION	1
MODIFIED	1
MOMENT	70
MOMENTARY	3
MOMENTS	11
MONDAY	9
MONEY	30
MONOSYLLABLE	1
MONOTONOUS	1
MONTH	9
MONTHLY	1
MONTHS	21
MORAL	3
MORALITY	1
MORALIZE	1
MORE	322
MOREOVER	11
MORNING	79
MORNINGS	3
MORRIS	1
MORROW	20
MORTAL	2
MORTIFICATION	6
MORTIFICATIONS	1
MORTIFIED	5
MORTIFIES	1
MORTIFYING	6
MOST	188
MOSTLY	1
MOTHER	137
MOTION	1
MOTIVE	18
MOTIVES	6
MOUNT	2
MOUNTAINS	2
MOUNTING	1
MOUTH	1
MOUTHS	2
MOVE	3
MOVED	9
MOVING	6
MR	782
MRS	342
MUCH	329
MUD	1
MUFFIN	1
MULTIPLE	1
MULTITUDE	1
MURMURS	1
MUSIC	12
MUSICAL	1
MUSLIN	3
MUSLINS	1
MUST	318
MUTUAL	5
MUTUALLY	1
MY	722
MYSELF	96
MYSTERY	1
N	1
NAME	34
NAMED	2
NAMES	6
NAMING	1
NARRATIVE	1
NARROW	2
NARROWEST	1
NARROWLY	2
NASTY	1
NATURAL	22
NATURALLY	12
NATURE	24
NATURED	11
NATUREDLY	1
NAY	10
NEAR	38
NEARER	5
NEAREST	5
NEARLY	10
NEARNESS	1
NEAT	1
NEATNESS	2
NECESSARILY	5
NECESSARY	31
NECESSITY	11
NECTARINES	1
NEED	20
NEEDED	3
NEEDLESS	3
NEEDLESSLY	1
NEEDLEWORK	1
NEGATIVE	3
NEGATIVED	1
NEGLECT	11
NEGLECTED	2
NEGLECTING	2
NEGLIGENCE	2
NEGLIGENT	1
NEIGHBOUR	8
NEIGHBOURHOOD	29
NEIGHBOURHOODS	1
NEIGHBOURING	2
NEIGHBOURS	11
NEITHER	38
NEPHEW	22
NEPHEWS	2
NERVES	4
NERVOUS	4
NET	2
NETHERFIELD	73
NETTING	1
NETTLED	1
NETWORK	1
NEVER	221
NEW	28
NEWBY	1
NEWCASTLE	4
NEWEST	1
NEWLY	1
NEWS	32
NEWSLETTER	1
NEWSPAPER	1
NEXT	72
NICE	5
NICELY	1
NICEST	1
NICHOLLS	2
NIECE	22
NIECES	10
NIGHT	38
NINE	2
NO	502
NOBLE	11
NOBLER	1
NOBLEST	1
NOBODY	18
NODS	1
NOISE	3
NOISY	3
NOMINALLY	1
NON	1
NONE	19
NONPROPRIETARY	1
NONSENSE	8
NONSENSICAL	3
NOON	2
NOR	74
NORTH	7
NORTHERN	3
NORTHWARD	2
NOSE	1
NOT	1450
NOTE	11
NOTES	1
NOTHING	177
NOTHINGNESS	1
NOTHINGS	1
NOTICE	24
NOTICED	8
NOTICING	1
NOTIFIES	1
NOTION	8
NOTIONS	3
NOURISHES	1
NOVEL	3
NOVELS	1
NOVELSTEXTBASEDO	1
NOVELTY	5
NOVEMBER	5
NOW	211
NT	1
NUMBER	8
NUMEROUS	3
NUPTIALS	3
NURSING	1
O	5
OAKHAM	1
OAKS	1
OBEISANCE	1
OBEY	1
OBEYED	3
OBJECT	48
OBJECTED	1
OBJECTING	3
OBJECTION	15
OBJECTIONABLE	3
OBJECTIONS	11
OBJECTS	7
OBLIGATION	6
OBLIGATIONS	3
OBLIGE	6
OBLIGED	29
OBLIGING	5
OBLIGINGLY	1
OBSEQUIOUS	1
OBSEQUIOUSNESS	1
OBSERVANCES	1
OBSERVATION	14
OBSERVATIONS	3
OBSERVE	10
OBSERVED	27
OBSERVER	2
OBSERVING	12
OBSOLETE	1
OBSTACLES	2
OBSTINACY	2
OBSTINATE	4
OBTAIN	6
OBTAINED	4
OBTAINING	2
OBTRUDED	2
OBVIOUS	1
OCCASION	38
OCCASIONAL	6
OCCASIONALLY	12
OCCASIONED	4
OCCASIONS	8
OCCUPATION	1
OCCUPIED	6
OCCUPIES	1
OCCUPY	2
OCCUR	5
OCCURRED	14
OCCURRENCES	4
OCCURRING	1
OCCURS	1
OCTOBER	1
ODD	5
ODDITIES	1
ODDITY	1
ODDLY	1
ODIOUS	3
OF	3750
OFF	61
OFFENCE	5
OFFENCES	3
OFFEND	3
OFFENDED	9
OFFENDING	3
OFFENSIVE	2
OFFER	28
OFFERED	9
OFFERING	3
OFFERS	6
OFFICE	8
OFFICER	8
OFFICERS	31
OFFICIAL	3
OFFICIOUS	3
OFFICIOUSNESS	1
OFTEN	90
OFTENER	3
OH	95
OLD	15
OLDER	2
OLIVE	3
OMEN	1
OMIT	1
OMITTED	1
ON	732
ONCE	58
ONE	303
ONES	5
ONLINE	5
ONLY	218
OPEN	17
OPENED	18
OPENING	13
OPENLY	8
OPENNESS	3
OPERATED	1
OPINION	67
OPINIONS	8
OPPORTUNITIES	2
OPPORTUNITY	30
OPPOSE	3
OPPOSED	5
OPPOSITE	11
OPPOSITION	3
OPPRESSED	2
OPPRESSIVELY	1
OR	377
ORDAINED	1
ORDER	7
ORDERED	8
ORDERLY	1
ORDERS	7
ORDINARY	3
ORDINATION	1
ORG	15
ORGANIZED	1
ORIGINAL	8
ORIGINALLY	2
ORIGINATE	1
ORIGINATED	2
ORIGINATOR	1
ORNAMENT	1
ORNAMENTS	2
OSTENTATION	1
OSTENTATIOUS	1
OTHER	226
OTHERS	55
OTHERWISE	16
OUGHT	46
OUR	78
OURS	2
OURSELVES	8
OUT	135
OUTDATED	1
OUTDONE	1
OUTLIVED	1
OUTRUN	1
OUTSIDE	3
OUTSTRIP	1
OUTSTRIPPED	1
OVER	92
OVERBEARING	1
OVERCAME	3
OVERCOME	10
OVERCOMING	1
OVERFLOWING	1
OVERFLOWS	1
OVERHEAR	2
OVERHEARD	3
OVERHEARINGS	1
OVERJOYED	1
OVERLOOK	3
OVERLOOKED	3
OVERPOWER	1
OVERPOWERED	3
OVERPOWERING	1
OVERSET	1
OVERSPREAD	3
OVERSPREADING	1
OVERTAKEN	1
OVERTHROW	1
OVERTHROWING	1
OVERTHROWN	3
OVERTOOK	1
OVERTURES	1
OWE	5
OWED	7
OWES	2
OWING	4
OWN	188
OWNED	3
OWNER	9
OWNS	3
OXFORD	1
P	1
PACE	1
PACK	2
PACKED	1
PACKING	1
PADDOCK	3
PAGE	6
PAGES	3
PAID	25
PAIN	29
PAINFUL	14
PAINFULLY	2
PAINING	1
PAINS	4
PAINT	1
PAINTER	1
PAINTINGS	1
PAIR	2
PALATABLE	1
PALE	4
PALER	1
PALES	2
PALING	2
PALLIATION	1
PALTRY	2
PANEGYRIC	2
PANG	1
PANTING	1
PAPA	5
PAPER	7
PAPERS	1
PAPERWORK	1
PARADE	2
PARADING	1
PARAGRAPH	11
PARAGRAPHS	3
PARASOL	2
PARCELS	2
PARDON	16
PARENT	1
PARENTAL	1
PARENTS	7
PARISH	9
PARISHIONERS	1
PARK	22
PARLOUR	11
PARSONAGE	18
PART	64
PARTAKE	2
PARTED	14
PARTIAL	10
PARTIALITY	13
PARTICIPATION	1
PARTICULAR	29
PARTICULARLY	34
PARTICULARS	20
PARTIES	12
PARTING	7
PARTLY	2
PARTNER	17
PARTNERS	3
PARTRIDGES	1
PARTS	5
PARTY	58
PASS	16
PASSAGE	2
PASSAGES	2
PASSED	61
PASSING	11
PASSION	2
PASSIONS	1
PAST	10
PATCHED	1
PATH	4
PATHETIC	1
PATIENCE	9
PATIENT	1
PATRON	3
PATRONAGE	4
PATRONESS	7
PAUSE	18
PAUSED	3
PAUSES	2
PAUSING	2
PAVEMENT	1
PAY	12
PAYING	6
PAYMENT	1
PAYMENTS	3
PEACE	7
PEACHES	1
PEAK	1
PECULIAR	6
PECULIARITIES	1
PECULIARITY	1
PECULIARLY	3
PECUNIARY	2
PEDANTIC	1
PEEP	1
PEEVISH	2
PEMBERLEY	53
PEN	3
PENANCE	1
PENETRATION	2
PENITENT	1
PENS	1
PEOPLE	53
PER	4
PERCEIVE	8
PERCEIVED	12
PERCEIVING	4
PERCEPTIBLE	1
PERFECT	17
PERFECTIONS	2
PERFECTLY	48
PERFORM	5
PERFORMANCE	6
PERFORMANCES	1
PERFORMED	7
PERFORMER	2
PERFORMERS	1
PERFORMING	3
PERFORMS	1
PERHAPS	77
PERIOD	15
PERIODIC	1
PERIODS	1
PERMANENT	2
PERMISSION	13
PERMIT	1
PERMITTED	3
PERPETUAL	1
PERPETUALLY	3
PERPLEXITY	2
PERSEVERANCE	3
PERSEVERED	1
PERSEVERING	1
PERSEVERINGLY	1
PERSIST	2
PERSISTED	2
PERSISTING	1
PERSISTS	1
PERSON	55
PERSONAGE	1
PERSONAGES	1
PERSONAL	2
PERSONS	9
PERSUADE	18
PERSUADED	25
PERSUASION	8
PERSUASIONS	1
PERTURBATION	2
PERTURBED	1
PERUSAL	4
PERUSING	1
PERVERSE	1
PERVERSENESS	6
PETITION	1
PETITIONED	1
PETRIFIED	1
PETTICOAT	3
PETULANCE	1
PG	1
PGDP	1
PGLAF	2
PHAETON	4
PHILIPS	33
PHILIPSES	2
PHILOSOPHER	1
PHILOSOPHIC	1
PHILOSOPHY	5
PHRASE	4
PHYSICAL	2
PHYSICIANS	1
PIANO	5
PICTURE	14
PICTURED	1
PICTURES	1
PICTURESQUE	1
PIECE	9
PIECES	2
PIES	1
PIGS	1
PILING	1
PIN	1
PIQUED	1
PIQUET	1
PITCHED	1
PITIABLE	3
PITIED	3
PITIFUL	2
PITY	9
PLACE	77
PLACED	9
PLACES	5
PLACING	3
PLAGUE	3
PLAIN	13
PLAINER	1
PLAINLY	6
PLAN	14
PLANNED	3
PLANNING	2
PLANS	2
PLANT	1
PLANTATION	1
PLATE	1
PLAY	18
PLAYED	1
PLAYERS	2
PLAYFUL	2
PLAYFULNESS	2
PLAYING	6
PLAYS	1
PLEAD	2
PLEADED	1
PLEASANT	18
PLEASANTER	4
PLEASANTEST	2
PLEASANTLY	4
PLEASANTNESS	3
PLEASANTRY	2
PLEASE	17
PLEASED	39
PLEASES	2
PLEASING	22
PLEASURE	93
PLEASURES	6
PLEDGED	2
PLENTIFUL	1
PLENTY	1
PLIANCY	1
POCKET	3
POETRY	2
POINT	46
POINTED	5
POINTEDLY	1
POINTING	5
POINTS	4
POLICY	1
POLISHED	2
POLITE	5
POLITELY	3
POLITENESS	17
POLLUTED	1
POLLUTION	1
POMPOUS	3
PONIES	3
POOL	1
POOLS	1
POOR	38
POORLY	3
POPE	1
POPULAR	1
POPULARITY	1
PORRIDGE	1
PORT	1
PORTION	3
PORTRAIT	1
PORTRAITS	2
POSITION	1
POSITIONS	1
POSITIVE	3
POSITIVELY	2
POSSESS	5
POSSESSED	2
POSSESSES	1
POSSESSING	1
POSSESSION	10
POSSESSOR	2
POSSIBILITIES	1
POSSIBILITY	14
POSSIBLE	57
POSSIBLY	8
POST	5
POSTED	4
POSTERITY	1
POSTILIONS	1
POSTPONED	1
POSTSCRIPT	3
POULTRY	3
POUNDS	24
POUR	1
POURED	1
POURING	1
POVERTY	2
POWDERING	1
POWER	42
POWERFUL	3
POWERS	6
PRACTICALLY	1
PRACTICE	4
PRACTISE	1
PRACTISED	1
PRACTISES	2
PRACTISING	1
PRAISE	22
PRAISED	2
PRAISES	2
PRATT	2
PRAY	26
PREACHING	3
PRECEDED	1
PRECEDING	4
PRECIOUS	2
PRECIPITANCE	2
PRECIPITATE	2
PRECISELY	1
PRECISION	1
PRECLUDING	1
PREDICT	1
PREDOMINANCE	1
PREDOMINATE	1
PREFACED	1
PREFER	6
PREFERENCE	10
PREFERMENT	3
PREFERRED	3
PREJUDICE	15
PREJUDICED	1
PREJUDICES	2
PREMEDITATED	1
PREMEDITATION	1
PREMISES	1
PREPARATION	1
PREPARATIONS	2
PREPARE	8
PREPARED	11
PREPARING	6
PREPOSSESSED	1
PREPOSSESSION	2
PRESENCE	6
PRESENT	68
PRESENTATION	5
PRESENTED	2
PRESENTLY	2
PRESENTS	3
PRESERVATION	2
PRESERVATIVE	2
PRESERVE	5
PRESERVED	4
PRESIDE	1
PRESIDED	1
PRESS	4
PRESSED	3
PRESSING	5
PRESSINGLY	1
PRESUME	2
PRESUMED	1
PRESUMING	2
PRESUMPTION	3
PRETENCE	2
PRETEND	7
PRETENDED	2
PRETENDING	3
PRETENSION	2
PRETENSIONS	4
PRETTIER	2
PRETTIEST	1
PRETTY	24
PRETTYISH	1
PREVAIL	2
PREVAILED	15
PREVAILING	2
PREVENT	17
PREVENTED	23
PREVENTS	1
PREVIOUS	4
PREVIOUSLY	2
PREY	2
PRICE	2
PRIDE	57
PRIDED	1
PRINCIPAL	15
PRINCIPALLY	5
PRINCIPLE	5
PRINCIPLES	1
PRINT	1
PRINTED	6
PRIOR	2
PRIVATE	11
PRIVATELY	3
PRIVILEGE	3
PRIVILEGED	3
PRIZED	1
PRIZES	1
PROBABILITIES	1
PROBABILITY	10
PROBABLE	12
PROBABLY	24
PROBITY	1
PROBLEM	1
PROCEED	5
PROCEEDED	10
PROCEEDING	6
PROCEEDINGS	1
PROCESS	1
PROCESSING	1
PROCLAIM	1
PROCURE	1
PROCURED	4
PROCURING	3
PRODIGIOUS	1
PRODIGIOUSLY	3
PRODUCE	6
PRODUCED	12
PRODUCTION	1
PRODUCTIVE	1
PROFESS	1
PROFESSED	4
PROFESSING	1
PROFESSION	7
PROFESSIONS	6
PROFESSOR	1
PROFICIENCY	1
PROFICIENT	1
PROFIT	2
PROFITS	1
PROFLIGACY	1
PROFLIGATE	1
PROFUSE	1
PROFUSION	1
PROGNOSTICS	1
PROGRESS	5
PROHIBITED	1
PROHIBITION	1
PROJECT	88
PROJECTED	1
PROMINENTLY	2
PROMISE	17
PROMISED	21
PROMISES	3
PROMISING	4
PROMOTE	4
PROMOTED	1
PROMOTING	2
PROMOTION	1
PROMPT	1
PROMPTED	1
PRONE	2
PRONOUNCE	3
PRONOUNCED	10
PRONOUNCING	1
PROOF	7
PROOFREAD	1
PROOFREADING	1
PROPENSITIES	1
PROPENSITY	1
PROPER	20
PROPERLY	8
PROPERTY	10
PROPITIOUS	1
PROPORTION	4
PROPORTIONATE	1
PROPORTIONED	1
PROPORTIONS	1
PROPOSAL	10
PROPOSALS	9
PROPOSE	3
PROPOSED	5
PROPRIETARY	1
PROPRIETOR	3
PROPRIETY	8
PROSPECT	14
PROSPECTS	4
PROSPERITY	3
PROSPEROUS	2
PROTECT	2
PROTECTION	2
PROTEST	1
PROTESTED	8
PROTESTING	4
PROUD	22
PROUDEST	1
PROUDLY	1
PROVE	8
PROVED	17
PROVERB	1
PROVIDE	11
PROVIDED	11
PROVIDING	5
PROVING	1
PROVISION	3
PROVISIONS	1
PROVOCATIONS	1
PROVOKE	5
PROVOKED	3
PROVOKING	3
PROXY	1
PRUDENCE	4
PRUDENT	4
PRUDENTIAL	1
PRUDENTLY	1
PUBLIC	21
PUBLICLY	3
PUBLISH	1
PUDDLES	1
PUFFED	1
PULL	1
PUNCH	1
PUNCTUAL	3
PUNCTUALITY	2
PUNCTUALLY	3
PUNISH	3
PUNISHMENT	5
PUNITIVE	1
PURCHASE	6
PURCHASED	3
PURCHASES	2
PURE	2
PURPORT	2
PURPOSE	20
PURPOSELY	6
PURSE	1
PURSES	1
PURSUE	6
PURSUED	2
PURSUING	3
PURSUIT	6
PURSUITS	1
PURVIS	1
PUT	31
PUTTING	5
PUZZLE	2
PUZZLED	1
PYRAMIDS	1
QUADRILLE	4
QUALIFICATIONS	2
QUALIFIED	4
QUALITIES	6
QUALITY	2
QUANTITY	1
QUARREL	5
QUARRELLED	1
QUARRELLING	3
QUARRELSOME	1
QUARTER	9
QUARTERED	3
QUARTERS	3
QUERULOUS	1
QUEST	7
QUESTION	23
QUESTIONED	3
QUESTIONS	16
QUICK	10
QUICKLY	4
QUICKNESS	3
QUIET	7
QUIETED	2
QUIETER	1
QUIETLY	9
QUIT	10
QUITE	95
QUITTED	9
QUITTING	8
R	2
RACE	1
RACKED	1
RAGE	2
RAGOUT	1
RAIL	1
RAIN	4
RAINED	1
RAINY	1
RAISED	6
RAISING	3
RALLIED	2
RAMBLE	2
RAMBLED	1
RAMSGATE	3
RAN	13
RANG	1
RANGE	2
RANK	12
RANT	1
RAPACITY	1
RAPID	3
RAPIDITY	4
RAPIDLY	2
RAPTURE	2
RAPTURES	7
RAPTUROUS	2
RAPTUROUSLY	1
RASHNESS	1
RATE	5
RATED	2
RATHER	55
RATIONAL	10
RATIONALLY	3
RATTLE	2
RE	9
REACH	8
REACHED	18
REACHING	4
READ	44
READABLE	2
READER	3
READILY	18
READINESS	4
READING	15
READY	20
REAL	31
REALITIES	1
REALIZED	1
REALLY	89
REAP	1
REASON	51
REASONABLE	15
REASONABLENESS	1
REASONABLY	4
REASONING	1
REASONS	5
REBUKE	1
RECAL	2
RECALLED	2
RECEDE	1
RECEIPT	4
RECEIVE	31
RECEIVED	66
RECEIVING	21
RECENT	5
RECEPTION	9
RECITAL	3
RECKON	1
RECKONED	1
RECOGNISED	1
RECOGNISING	1
RECOLLECT	6
RECOLLECTED	13
RECOLLECTING	5
RECOLLECTION	12
RECOLLECTIONS	8
RECOMMENCED	1
